City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Sao Filipe,CV,78.89,clear sky,14.8961,-24.4956,Hotel Xaguate
4,Rikitea,PF,75.54,overcast clouds,-23.1203,-134.9692,People ThankYou
5,Isangel,VU,77.25,clear sky,-19.55,169.2667,Tanna Lodge
7,Atuona,PF,78.89,few clouds,-9.8,-139.0333,Villa Enata
8,Bintulu,MY,75.61,scattered clouds,3.1667,113.0333,900 Boutique INN
9,Comodoro Rivadavia,AR,78.66,clear sky,-45.8667,-67.5,Austral Hotel
11,Commerce,US,77.99,haze,34.0006,-118.1598,DoubleTree by Hilton Hotel Los Angeles - Commerce
15,Nanuque,BR,82.42,light rain,-17.8392,-40.3539,Hotel e Churrascaria Boi na Brasa
20,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
21,Souillac,MU,79.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
22,Castro,BR,72.52,few clouds,-24.7911,-50.0119,CHACARA BAILLY
24,Havelock,US,73.98,broken clouds,34.8791,-76.9013,Sherwood Motel
29,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
31,Manokwari,ID,79.56,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
35,Butaritari,KI,83.39,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
36,Inirida,CO,88.27,scattered clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
39,Kieta,PG,79.36,light rain,-6.2167,155.6333,Uruna Bay Retreat
41,Bambous Virieux,MU,79.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
45,Limoeiro De Anadia,BR,91.29,few clouds,-9.7406,-36.5028,Shopp Motel
46,Isla Vista,US,79.3,mist,34.4133,-119.861,Best Western Plus South Coast Inn
48,Kanye,BW,74.5,broken clouds,-24.9667,25.3327,The Savanna Lodge
50,Cayenne,GF,80.64,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
52,Hilo,US,74.25,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
59,Baytown,US,79.07,overcast clouds,29.7355,-94.9774,Econo Lodge
61,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
63,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
64,San Policarpo,PH,79.81,overcast clouds,12.1791,125.5072,Agapita M. Nicart
68,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
73,Bandarbeyla,SO,77.16,clear sky,9.4942,50.8122,JABIR HOTEL
76,Dom Pedrito,BR,85.86,clear sky,-30.9828,-54.6731,Hotel Alexandre
78,Poum,NC,80.49,clear sky,-20.2333,164.0167,Gîte kajeon
81,Marang,MY,80.51,overcast clouds,5.2056,103.2059,DBarakah Homestay
85,Alenquer,BR,86.34,overcast clouds,-1.9417,-54.7383,Josilene Castro
86,Kapaa,US,75.18,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
91,Itaituba,BR,91.56,scattered clouds,-4.2761,-55.9836,Hotel Campos
92,Abonnema,NG,82.08,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
93,Luangwa,ZM,87.82,scattered clouds,-15.6167,30.4167,Gerasimos Safari Lodge
96,Cape Canaveral,US,82.99,scattered clouds,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
97,Itapaci,BR,83.37,light rain,-14.9508,-49.5494,Gold Pallace Hotel
101,Katobu,ID,77.56,moderate rain,-4.9408,122.5276,La Ode Husein
106,Atambua,ID,75.78,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
108,Antalaha,MG,74.57,moderate rain,-14.9003,50.2788,Hotel Vitasoa
111,Malindi,KE,82.56,few clouds,-3.2175,40.1191,African House Resort
118,Pochutla,MX,90.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
119,San Fernando,PH,77.14,overcast clouds,15.0286,120.6898,Maharlika Hostel
120,Chuy,UY,72.95,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
121,Rayong,TH,72.3,overcast clouds,12.8333,101.4333,Suan Palm Garden View Hotel
124,Bairiki,KI,82.4,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
127,Dhandhuka,IN,74.66,clear sky,22.3667,71.9833,Amin Auto
128,Pisco,PE,73.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
129,Avarua,CK,78.85,light rain,-21.2078,-159.775,Paradise Inn
130,Port Hueneme,US,79.43,mist,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
134,Ciudad Bolivar,VE,88.18,broken clouds,8.1222,-63.5497,Hotel Edi
137,Sao Joao Da Barra,BR,82.49,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
140,Veraval,IN,74.77,clear sky,20.9,70.3667,Lords Inn Somnath
143,Cidreira,BR,72.39,clear sky,-30.1811,-50.2056,Hotel Castelo
