City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Escanaba,US,2021-12-06 17:40:13,45.7453,-87.0646,30.63,75,90,20.71,light snow
1,Stonewall,CA,2021-12-06 17:40:13,50.1344,-97.3268,-2.02,81,19,9.57,few clouds
2,East London,ZA,2021-12-06 17:39:30,-33.0153,27.9116,68.94,77,20,14.97,few clouds
3,Sao Filipe,CV,2021-12-06 17:35:59,14.8961,-24.4956,78.89,62,2,7.94,clear sky
4,Rikitea,PF,2021-12-06 17:40:14,-23.1203,-134.9692,75.54,74,93,6.51,overcast clouds
5,Isangel,VU,2021-12-06 17:35:25,-19.55,169.2667,77.25,86,9,5.61,clear sky
6,Khatanga,RU,2021-12-06 17:40:14,71.9667,102.5,-6.12,97,100,9.78,overcast clouds
7,Atuona,PF,2021-12-06 17:33:29,-9.8,-139.0333,78.89,71,12,22.06,few clouds
8,Bintulu,MY,2021-12-06 17:40:15,3.1667,113.0333,75.61,94,40,5.01,scattered clouds
9,Comodoro Rivadavia,AR,2021-12-06 17:32:25,-45.8667,-67.5,78.66,19,0,13.8,clear sky
10,Hobart,AU,2021-12-06 17:38:06,-42.8794,147.3294,62.46,76,90,9.22,overcast clouds
11,Commerce,US,2021-12-06 17:40:15,34.0006,-118.1598,77.99,70,1,0.0,haze
12,Ushuaia,AR,2021-12-06 17:31:36,-54.8,-68.3,47.86,61,75,23.02,light intensity drizzle
13,Upernavik,GL,2021-12-06 17:40:16,72.7868,-56.1549,20.8,94,99,5.46,overcast clouds
14,Tondano,ID,2021-12-06 17:40:16,1.3038,124.9112,68.09,96,99,3.13,overcast clouds
15,Nanuque,BR,2021-12-06 17:40:17,-17.8392,-40.3539,82.42,67,85,12.06,light rain
16,Ahipara,NZ,2021-12-06 17:40:17,-35.1667,173.1667,65.61,95,99,6.08,overcast clouds
17,Albany,US,2021-12-06 17:31:10,42.6001,-73.9662,56.73,85,100,1.99,overcast clouds
18,Saint George,US,2021-12-06 17:34:44,37.1041,-113.5841,60.35,48,1,0.0,clear sky
19,New Norfolk,AU,2021-12-06 17:40:17,-42.7826,147.0587,62.1,66,51,2.62,broken clouds
20,Georgetown,MY,2021-12-06 17:40:18,5.4112,100.3354,80.89,80,20,3.0,few clouds
21,Souillac,MU,2021-12-06 17:40:18,-20.5167,57.5167,79.36,73,40,6.91,scattered clouds
